created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean,perturbed
2017-03-08 16:41:59.402377+00,13.0,,317616.0,approved,0.0,0.0,0.0,1.0,0.0,0.8653846153846154,0.0576923076923077,0.1153846153846154,0.0,0.019230769230769232,0.9038461538461541,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,there are some incredibly stupid people on this planet,there are some incredibly stuffed people on this planet
2017-03-08 16:41:59.402377+00,13.0,,317616.0,approved,0.0,0.0,0.0,1.0,0.0,0.8653846153846154,0.0576923076923077,0.1153846153846154,0.0,0.019230769230769232,0.9038461538461541,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,there are some incredibly stupid people on this planet,there are some incredibly stuft people on this planet
2017-03-08 16:41:59.402377+00,13.0,,317616.0,approved,0.0,0.0,0.0,1.0,0.0,0.8653846153846154,0.0576923076923077,0.1153846153846154,0.0,0.019230769230769232,0.9038461538461541,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,there are some incredibly stupid people on this planet,there are some incredibly stupidty people on this planet
2017-01-05 21:07:07.765503+00,54.0,793465.0,160165.0,rejected,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.18,0.0,0.0,0.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,thats just plain stupid,thats just plain stubbed
2017-01-05 21:07:07.765503+00,54.0,793465.0,160165.0,rejected,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.18,0.0,0.0,0.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,thats just plain stupid,thats just plain stupiday
2017-01-05 21:07:07.765503+00,54.0,793465.0,160165.0,rejected,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.18,0.0,0.0,0.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,thats just plain stupid,thats just plain stuffed
2017-01-15 15:28:56.250125+00,54.0,843277.0,161989.0,rejected,0.0,0.0,0.0,1.0,0.0,0.8181818181818182,0.022727272727272728,0.06818181818181818,0.0,0.0,0.7727272727272726,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,typical empty stupid reply based on hate over anything constructive,typical empty stuft reply based on hate over anything constructive
2017-01-15 15:28:56.250125+00,54.0,843277.0,161989.0,rejected,0.0,0.0,0.0,1.0,0.0,0.8181818181818182,0.022727272727272728,0.06818181818181818,0.0,0.0,0.7727272727272726,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,typical empty stupid reply based on hate over anything constructive,typical empty stupidty reply based on hate over anything constructive
2017-01-15 15:28:56.250125+00,54.0,843277.0,161989.0,rejected,0.0,0.0,0.0,1.0,0.0,0.8181818181818182,0.022727272727272728,0.06818181818181818,0.0,0.0,0.7727272727272726,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,typical empty stupid reply based on hate over anything constructive,typical empty stubbed reply based on hate over anything constructive
2017-06-02 16:11:04.308215+00,102.0,5345513.0,340087.0,rejected,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0576923076923077,0.019230769230769232,0.0,0.019230769230769232,0.8269230769230768,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,i always knew you were a dirty cop,i always knew you were a dirtyyyy cop
2017-06-02 16:11:04.308215+00,102.0,5345513.0,340087.0,rejected,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0576923076923077,0.019230769230769232,0.0,0.019230769230769232,0.8269230769230768,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,i always knew you were a dirty cop,i always knew you were a dirait cop
2017-06-02 16:11:04.308215+00,102.0,5345513.0,340087.0,rejected,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0576923076923077,0.019230769230769232,0.0,0.019230769230769232,0.8269230769230768,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.0,i always knew you were a dirty cop,i always knew you were a dirt cop
2017-07-30 23:36:40.896628+00,53.0,5687726.0,360578.0,approved,0.0,0.0,0.0,6.0,0.0,0.6575342465753424,0.0,0.0684931506849315,0.0,0.0,0.6027397260273972,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.0,dumb response off topic as always,dumpf response off topic as always
2017-07-30 23:36:40.896628+00,53.0,5687726.0,360578.0,approved,0.0,0.0,0.0,6.0,0.0,0.6575342465753424,0.0,0.0684931506849315,0.0,0.0,0.6027397260273972,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.0,dumb response off topic as always,dummmmbbb response off topic as always
2017-07-30 23:36:40.896628+00,53.0,5687726.0,360578.0,approved,0.0,0.0,0.0,6.0,0.0,0.6575342465753424,0.0,0.0684931506849315,0.0,0.0,0.6027397260273972,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.0,dumb response off topic as always,dummmmb response off topic as always
2017-04-04 17:30:41.311510+00,53.0,5091525.0,321852.0,approved,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.02631578947368421,0.4473684210526316,0.0,0.0,0.21052631578947367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,i damn no one they damn themselves,i damae no one they damn themselves
2017-04-04 17:30:41.311510+00,53.0,5091525.0,321852.0,approved,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.02631578947368421,0.4473684210526316,0.0,0.0,0.21052631578947367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,i damn no one they damn themselves,i dammm no one they damn themselves
2017-04-04 17:30:41.311510+00,53.0,5091525.0,321852.0,approved,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.02631578947368421,0.4473684210526316,0.0,0.0,0.21052631578947367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,i damn no one they damn themselves,i damn-he no one they damn themselves
2017-10-03 16:55:22.992900+00,102.0,,384836.0,approved,0.0,0.0,0.0,1.0,0.0,0.921875,0.0625,0.234375,0.015625,0.015625,0.921875,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,wow that is a whole of stupid and ugly that should be removed from the gene pool,wow that is a whole of stupiday and ugly that should be removed from the gene pool
2017-10-03 16:55:22.992900+00,102.0,,384836.0,approved,0.0,0.0,0.0,1.0,0.0,0.921875,0.0625,0.234375,0.015625,0.015625,0.921875,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,wow that is a whole of stupid and ugly that should be removed from the gene pool,wow that is a whole of stuffed and ugly that should be removed from the gene pool
2017-10-03 16:55:22.992900+00,102.0,,384836.0,approved,0.0,0.0,0.0,1.0,0.0,0.921875,0.0625,0.234375,0.015625,0.015625,0.921875,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,wow that is a whole of stupid and ugly that should be removed from the gene pool,wow that is a whole of stuft and ugly that should be removed from the gene pool
2017-08-14 13:17:31.078409+00,102.0,5762794.0,366182.0,approved,0.0,0.0,0.0,0.0,2.0,0.7758620689655171,0.0,0.10344827586206896,0.0,0.017241379310344827,0.7931034482758621,0.017241379310344827,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.0,and you lost the cold war wow my response is almost as stupid as yours almost,and you lost the cold war wow my response is almost as stupidty as yours almost
2017-08-14 13:17:31.078409+00,102.0,5762794.0,366182.0,approved,0.0,0.0,0.0,0.0,2.0,0.7758620689655171,0.0,0.10344827586206896,0.0,0.017241379310344827,0.7931034482758621,0.017241379310344827,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.0,and you lost the cold war wow my response is almost as stupid as yours almost,and you lost the cold war wow my response is almost as stubbed as yours almost
