created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean,perturbed
2017-04-21 06:25:50.547973+00,21.0,5158831.0,328332.0,approved,0.0,0.0,0.0,0.0,0.0,0.8947368421052628,0.0,0.17543859649122806,0.017543859649122806,0.0,0.8245614035087718,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,57.0,you cant fix stupid,you cant fix Stuuupidd
2017-07-15 16:33:25.508975+00,54.0,5598211.0,355631.0,rejected,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.14814814814814814,0.0,0.018518518518518517,0.9074074074074074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.0,i guess you know some pretty stupid young people you are the company you keep,i guess you know some pretty Stuuupidd young people you are the company you keep
2016-12-05 19:18:02.102933+00,54.0,,154667.0,approved,0.0,0.0,0.0,3.0,0.0,0.7361111111111109,0.013888888888888888,0.19444444444444445,0.0,0.0,0.5972222222222222,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.0,what a stupid waste of money,what a Stuuupidd waste of money
2017-09-24 19:27:23.599787+00,102.0,6010492.0,381329.0,approved,0.0,0.0,0.0,1.0,0.0,0.8823529411764706,0.05882352941176471,0.22058823529411764,0.014705882352941175,0.014705882352941175,0.8235294117647058,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.0,you cant fix stupid,you cant fix Stuuupidd
2017-03-10 22:09:38.628878+00,54.0,4987765.0,318462.0,approved,3.0,0.0,0.0,2.0,1.0,0.8125,0.046875,0.046875,0.015625,0.0,0.765625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,they would care if they werent the new dumb,they would care if they werent the new DUMBBBB
2016-12-14 11:43:03.705955+00,54.0,707564.0,156423.0,approved,1.0,0.0,0.0,3.0,0.0,0.6617647058823529,0.014705882352941175,0.014705882352941175,0.0,0.014705882352941175,0.6470588235294118,0.014705882352941175,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.0,thats not how you spell dumb,thats not how you spell DUMBBBB
2016-12-16 04:20:48.401237+00,21.0,715945.0,156870.0,approved,9.0,0.0,1.0,15.0,7.0,0.92,0.0,0.14,0.0,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,are you really as stupid as you sound or are you just fishing for attention,are you really as Stuuupidd as you sound or are you just fishing for attention
2017-09-22 20:39:07.160484+00,55.0,6002064.0,380855.0,rejected,0.0,0.0,0.0,0.0,0.0,0.8958333333333333,0.04166666666666666,0.08333333333333333,0.0,0.0,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.0,stupid and cynical a perfect description for your comment,Stuuupidd and cynical a perfect description for your comment
2017-08-29 01:33:02.432878+00,54.0,,371640.0,approved,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,trump simply does not care i am president and to hell with all of you,trump simply does not care i am president and to HEL with all of you
2017-08-29 01:33:02.432878+00,54.0,,371640.0,approved,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,trump simply does not care i am president and to hell with all of you,trump simply does not care i am president and to hel with all of you
