created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean,perturbed
2016-07-14 13:16:53.051467+00,21.0,387455.0,141388.0,approved,0.0,0.0,0.0,1.0,0.0,0.8026315789473683,0.013157894736842105,0.17105263157894735,0.0,0.013157894736842105,0.7368421052631579,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,yes simply stupid,yes simply STUPIDDDDD
2016-07-14 13:16:53.051467+00,21.0,387455.0,141388.0,approved,0.0,0.0,0.0,1.0,0.0,0.8026315789473683,0.013157894736842105,0.17105263157894735,0.0,0.013157894736842105,0.7368421052631579,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,yes simply stupid,yes simply Stuuupidd
2016-07-14 13:16:53.051467+00,21.0,387455.0,141388.0,approved,0.0,0.0,0.0,1.0,0.0,0.8026315789473683,0.013157894736842105,0.17105263157894735,0.0,0.013157894736842105,0.7368421052631579,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,yes simply stupid,yes simply stupiddddd
2017-05-26 22:40:15.911905+00,102.0,5310684.0,337941.0,approved,0.0,0.0,0.0,2.0,0.0,0.696969696969697,0.015151515151515154,0.12121212121212124,0.0,0.0,0.5909090909090909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,stop wasting my money on a stupid wall and a bigger military,stop wasting my money on a stpd wall and a bigger military
2017-05-26 22:40:15.911905+00,102.0,5310684.0,337941.0,approved,0.0,0.0,0.0,2.0,0.0,0.696969696969697,0.015151515151515154,0.12121212121212124,0.0,0.0,0.5909090909090909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,stop wasting my money on a stupid wall and a bigger military,stop wasting my money on a STUPIDDDDD wall and a bigger military
2017-05-26 22:40:15.911905+00,102.0,5310684.0,337941.0,approved,0.0,0.0,0.0,2.0,0.0,0.696969696969697,0.015151515151515154,0.12121212121212124,0.0,0.0,0.5909090909090909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,stop wasting my money on a stupid wall and a bigger military,stop wasting my money on a Stuuupidd wall and a bigger military
2016-10-28 13:08:11.680333+00,54.0,557157.0,149795.0,rejected,0.0,0.0,0.0,0.0,0.0,0.9071180555555556,0.0720486111111111,0.2690972222222222,0.003472222222222222,0.013888888888888888,0.9157986111111112,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1152.0,you were making sense until near the end of your post and then you got stupid as always celeste,you were making sense until near the end of your post and then you got stupiddddd as always celeste
2016-10-28 13:08:11.680333+00,54.0,557157.0,149795.0,rejected,0.0,0.0,0.0,0.0,0.0,0.9071180555555556,0.0720486111111111,0.2690972222222222,0.003472222222222222,0.013888888888888888,0.9157986111111112,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1152.0,you were making sense until near the end of your post and then you got stupid as always celeste,you were making sense until near the end of your post and then you got stpd as always celeste
2016-10-28 13:08:11.680333+00,54.0,557157.0,149795.0,rejected,0.0,0.0,0.0,0.0,0.0,0.9071180555555556,0.0720486111111111,0.2690972222222222,0.003472222222222222,0.013888888888888888,0.9157986111111112,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1152.0,you were making sense until near the end of your post and then you got stupid as always celeste,you were making sense until near the end of your post and then you got STUPIDDDDD as always celeste
2017-02-28 15:21:15.092383+00,54.0,,315629.0,rejected,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,0.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,trash the blanc kind,traaaash the blanc kind
2017-02-28 15:21:15.092383+00,54.0,,315629.0,rejected,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,0.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,trash the blanc kind,trassshhh the blanc kind
